Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Sun Mar 15 14:02:50 GMT 2015,26000,7.56824,132063232,8589934592,8457871360
Sun Mar 15 14:02:52 GMT 2015,26000,5.3416133,132255744,8589934592,8457678848
Sun Mar 15 14:02:54 GMT 2015,26000,13.200498,132456448,8589934592,8457478144
Sun Mar 15 14:02:56 GMT 2015,26000,17.602999,129359872,8589934592,8460574720
Sun Mar 15 14:02:58 GMT 2015,26000,20.448875,128290816,8589934592,8461643776
Sun Mar 15 14:03:00 GMT 2015,26000,6.242198,131063808,8589934592,8458870784
Sun Mar 15 14:03:02 GMT 2015,26000,13.540375,130031616,8589934592,8459902976
Sun Mar 15 14:03:04 GMT 2015,26000,6.3354015,127373312,8589934592,8462561280
Sun Mar 15 14:03:06 GMT 2015,26000,5.8312654,127987712,8589934592,8461946880
Sun Mar 15 14:03:08 GMT 2015,26000,6.2111797,126717952,8589934592,8463216640
Sun Mar 15 14:03:10 GMT 2015,26000,4.488778,127369216,8589934592,8462565376
Sun Mar 15 14:03:12 GMT 2015,26000,4.9751225,128602112,8589934592,8461332480
Sun Mar 15 14:03:14 GMT 2015,26000,5.9553328,128253952,8589934592,8461680640
Sun Mar 15 14:03:16 GMT 2015,26000,7.5588584,132472832,8589934592,8457461760
Sun Mar 15 14:03:18 GMT 2015,26000,4.744071,137969664,8589934592,8451964928
Sun Mar 15 14:03:20 GMT 2015,26000,5.4522934,139821056,8589934592,8450113536
Sun Mar 15 14:03:22 GMT 2015,26000,6.2111797,142761984,8589934592,8447172608
Sun Mar 15 14:03:24 GMT 2015,26000,4.732251,143249408,8589934592,8446685184
Sun Mar 15 14:03:26 GMT 2015,26000,9.192544,139718656,8589934592,8450215936
Sun Mar 15 14:03:28 GMT 2015,26000,4.4776144,140410880,8589934592,8449523712
Sun Mar 15 14:03:30 GMT 2015,26000,6.0945272,138862592,8589934592,8451072000
Sun Mar 15 14:03:32 GMT 2015,26000,14.285713,139636736,8589934592,8450297856
Sun Mar 15 14:03:34 GMT 2015,26000,11.955166,142364672,8589934592,8447569920
Sun Mar 15 14:03:36 GMT 2015,26000,22.981363,134631424,8589934592,8455303168
Sun Mar 15 14:03:38 GMT 2015,26000,16.832918,123613184,8589934592,8466321408
Sun Mar 15 14:03:40 GMT 2015,26000,17.43462,123924480,8589934592,8466010112
Sun Mar 15 14:03:42 GMT 2015,26000,16.089111,123752448,8589934592,8466182144
Sun Mar 15 14:03:44 GMT 2015,26000,14.981276,126488576,8589934592,8463446016
Sun Mar 15 14:03:46 GMT 2015,26000,10.572142,127197184,8589934592,8462737408
Sun Mar 15 14:03:48 GMT 2015,26000,12.655086,127008768,8589934592,8462925824
Sun Mar 15 14:03:50 GMT 2015,26000,15.422887,126939136,8589934592,8462995456
Sun Mar 15 14:03:52 GMT 2015,26000,15.211969,114794496,8589934592,8475140096
Sun Mar 15 14:03:54 GMT 2015,26000,14.089775,124465152,8589934592,8465469440
Sun Mar 15 14:03:56 GMT 2015,26000,16.397518,119672832,8589934592,8470261760
Sun Mar 15 14:03:58 GMT 2015,26000,14.321298,120868864,8589934592,8469065728
Sun Mar 15 14:04:00 GMT 2015,26000,15.737301,124170240,8589934592,8465764352
Sun Mar 15 14:04:02 GMT 2015,26000,12.298137,123510784,8589934592,8466423808
Sun Mar 15 14:04:04 GMT 2015,26000,11.860174,123924480,8589934592,8466010112
Sun Mar 15 14:04:06 GMT 2015,26000,27.543427,127922176,8589934592,8462012416
Sun Mar 15 14:04:08 GMT 2015,26000,10.124999,128671744,8589934592,8461262848
Sun Mar 15 14:04:10 GMT 2015,26000,10.074627,129191936,8589934592,8460742656
Sun Mar 15 14:04:12 GMT 2015,26000,16.27329,134582272,8589934592,8455352320
Sun Mar 15 14:04:14 GMT 2015,26000,9.339976,135323648,8589934592,8454610944
Sun Mar 15 14:04:16 GMT 2015,26000,13.027292,136052736,8589934592,8453881856
Sun Mar 15 14:04:18 GMT 2015,26000,15.796018,134332416,8589934592,8455602176
Sun Mar 15 14:04:20 GMT 2015,26000,19.651741,133529600,8589934592,8456404992
Sun Mar 15 14:04:22 GMT 2015,26000,18.181818,134926336,8589934592,8455008256
Sun Mar 15 14:04:24 GMT 2015,26000,9.950251,135213056,8589934592,8454721536
Sun Mar 15 14:04:26 GMT 2015,26000,13.754648,135368704,8589934592,8454565888
Sun Mar 15 14:04:28 GMT 2015,26000,8.198756,136228864,8589934592,8453705728
Sun Mar 15 14:04:30 GMT 2015,26000,6.583852,136577024,8589934592,8453357568
Sun Mar 15 14:04:32 GMT 2015,26000,15.796018,136089600,8589934592,8453844992
Sun Mar 15 14:04:34 GMT 2015,26000,12.298137,135680000,8589934592,8454254592
Sun Mar 15 14:04:36 GMT 2015,26000,8.808935,136200192,8589934592,8453734400
Sun Mar 15 14:04:38 GMT 2015,26000,12.437809,134856704,8589934592,8455077888
Sun Mar 15 14:04:40 GMT 2015,26000,15.776396,134656000,8589934592,8455278592
Sun Mar 15 14:04:42 GMT 2015,26000,14.125002,121004032,8589934592,8468930560
Sun Mar 15 14:04:44 GMT 2015,26000,15.29851,123011072,8589934592,8466923520
Sun Mar 15 14:04:46 GMT 2015,26000,12.376237,123232256,8589934592,8466702336
