Time,CPU Freq,CPU Usage,Free Mem (Bytes),Total Mem (Bytes),Used Mem (Bytes)
Thu Mar 05 17:57:30 GMT 2015,26000,4.3370485,2631528448,8589934592,5958406144
Thu Mar 05 17:57:32 GMT 2015,26000,4.089218,2631716864,8589934592,5958217728
Thu Mar 05 17:57:34 GMT 2015,26000,3.8605213,2631290880,8589934592,5958643712
Thu Mar 05 17:57:36 GMT 2015,26000,3.8461566,2632716288,8589934592,5957218304
Thu Mar 05 17:57:38 GMT 2015,26000,3.8557231,2633166848,8589934592,5956767744
Thu Mar 05 17:57:40 GMT 2015,26000,4.2131367,2632540160,8589934592,5957394432
Thu Mar 05 17:57:42 GMT 2015,26000,3.6159575,2631946240,8589934592,5957988352
Thu Mar 05 17:57:44 GMT 2015,26000,3.9702237,2632355840,8589934592,5957578752
Thu Mar 05 17:57:46 GMT 2015,26000,4.5962753,2632077312,8589934592,5957857280
Thu Mar 05 17:57:48 GMT 2015,26000,4.601991,2632908800,8589934592,5957025792
Thu Mar 05 17:57:50 GMT 2015,26000,3.8461566,2632269824,8589934592,5957664768
Thu Mar 05 17:57:52 GMT 2015,26000,3.7359893,2613800960,8589934592,5976133632
Thu Mar 05 17:57:54 GMT 2015,26000,4.2236032,2632122368,8589934592,5957812224
Thu Mar 05 17:57:56 GMT 2015,26000,4.228854,2614722560,8589934592,5975212032
Thu Mar 05 17:57:58 GMT 2015,26000,4.099381,2615132160,8589934592,5974802432
Thu Mar 05 17:58:00 GMT 2015,26000,4.342431,2631696384,8589934592,5958238208
Thu Mar 05 17:58:02 GMT 2015,26000,3.9801002,2614222848,8589934592,5975711744
Thu Mar 05 17:58:04 GMT 2015,26000,4.099381,2632699904,8589934592,5957234688
Thu Mar 05 17:58:06 GMT 2015,26000,4.099381,2632151040,8589934592,5957783552
Thu Mar 05 17:58:08 GMT 2015,26000,4.234123,2631561216,8589934592,5958373376
Thu Mar 05 17:58:10 GMT 2015,26000,3.4869254,2631999488,8589934592,5957935104
Thu Mar 05 17:58:12 GMT 2015,26000,4.331684,2631467008,8589934592,5958467584
Thu Mar 05 17:58:14 GMT 2015,26000,3.4869254,2630836224,8589934592,5959098368
Thu Mar 05 17:58:16 GMT 2015,26000,4.228854,2631290880,8589934592,5958643712
Thu Mar 05 17:58:18 GMT 2015,26000,4.968941,2630787072,8589934592,5959147520
Thu Mar 05 17:58:20 GMT 2015,26000,3.7174702,2631176192,8589934592,5958758400
Thu Mar 05 17:58:22 GMT 2015,26000,3.9653063,2630533120,8589934592,5959401472
Thu Mar 05 17:58:24 GMT 2015,26000,3.9801002,2630955008,8589934592,5958979584
Thu Mar 05 17:58:26 GMT 2015,26000,3.8605213,2631544832,8589934592,5958389760
Thu Mar 05 17:58:28 GMT 2015,26000,4.2236032,2630905856,8589934592,5959028736
Thu Mar 05 17:58:30 GMT 2015,26000,3.7359893,2631385088,8589934592,5958549504
Thu Mar 05 17:58:32 GMT 2015,26000,4.089218,2630746112,8589934592,5959188480
Thu Mar 05 17:58:34 GMT 2015,26000,4.099381,2632196096,8589934592,5957738496
Thu Mar 05 17:58:36 GMT 2015,26000,3.7406504,2630610944,8589934592,5959323648
Thu Mar 05 17:58:38 GMT 2015,26000,5.3349853,2629148672,8589934592,5960785920
Thu Mar 05 17:58:40 GMT 2015,26000,4.9751225,2629652480,8589934592,5960282112
Thu Mar 05 17:58:42 GMT 2015,26000,3.9603949,2630123520,8589934592,5959811072
Thu Mar 05 17:58:44 GMT 2015,26000,4.832715,2629943296,8589934592,5959991296
Thu Mar 05 17:58:46 GMT 2015,26000,3.9603949,2630324224,8589934592,5959610368
Thu Mar 05 17:58:48 GMT 2015,26000,4.0942907,2630176768,8589934592,5959757824
Thu Mar 05 17:58:50 GMT 2015,26000,4.104477,2630594560,8589934592,5959340032
Thu Mar 05 17:58:52 GMT 2015,26000,3.9603949,2629955584,8589934592,5959979008
Thu Mar 05 17:58:54 GMT 2015,26000,3.8461566,2630340608,8589934592,5959593984
